Bent-arm pulling stays first: one heavy Weighted Pull-up day, one volume day, one ring muscle-up ladder day, and one quality-singles day. Planche and Handstand Push-up stay in, but the straight-arm dose is capped so it supports the goals instead of spending the elbow budget.

Weeks 2-3 nudge pull-up load up and stretch the muscle-up work toward a triple attempt only if the doubles stay clean. Week 4 is consolidation: same key movements, fewer total sets, so you keep the strength and skill while finishing fresher.

If the left medial elbow rises above 2/10 or is still worse after 48 hours, remove straight-arm rows in this order: Sat Band-Assisted Straddle Planche, Sat Advanced Tuck Planche, Wed Advanced Tuck Front Lever, Mon Advanced Tuck Planche. Keep bent-arm pulling unless symptoms clearly shift there; if a muscle-up rep turns soft or asymmetrical, end that row and continue only with the remaining prescribed bent-arm work.

START_WEEK1_TSV
Day	Exercise	Weight	Sets	Reps	Rest	Target RPE	Notes	Results
Mon	[WARMUP] Band Pull-Apart Warm-up	Bodyweight	2	15	30-45s	N/A	Shoulders and scaps warm; then do 2-3 easy pull-up ramp sets and 1 easy dip ramp set before work.; Squat-and-reach x 6; Bodyweight squat x 8; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Scapular push-up x 8; Ramp Weighted Pull-up: 12.5 kg x 5, 17.5 kg x 3, 22.5 kg x 1-2 before 30 kg work sets.	
Mon	Weighted Pull-up	+30 kg	4	2	4 min	8	Added load only; bodyweight is part of the total. Start here off your +32 kg x3 benchmark; if set 1 is already above target or bar speed drops hard, keep +30 and stop at 3 sets.	
Mon	Weighted Dip	+35 kg	2	5	3 min	8	Support for muscle-up lockout; if shoulders feel flat after pull-ups, stay at +32.5 and keep the reps crisp.	
Mon	Pistol Squat	RPE-selected belt load	3	5 each leg	2 min	7	Use the belt only if bodyweight 5s are clearly under target effort; smooth full-depth reps.	
Mon	Advanced Tuck Planche	Bodyweight	4	6s	2 min	8	Locked elbows and protraction; stop the set early if elbow discomfort rises or hips lose line.	
Mon	Plank	Bodyweight	3	40s	60s	7	Brace hard; ribs down.	
Tue	[WARMUP] Band Pull-Apart Warm-up	Bodyweight	2	15	30-45s	N/A	Then do 2 easy wall kick-ups and 1 easy Handstand Push-up ramp set.; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Scapular push-up x 8	
Tue	Freestanding Handstand Hold	Bodyweight	6	1	45-60s	6	6 planned attempts max; aim for 5-8s with a clean line. End an attempt on loss of balance or banana back.	
Tue	Back-to-Wall Handstand Push-Up	Bodyweight	4	3	3 min	7.5	Match your best clean towel ROM; if rep speed crashes, keep 3s and stop at 3 sets.	
Tue	Australian Pull-up	Bodyweight	2	8	90s	6.5	Pull chest to the bar or rings; this is your low-fatigue foundation pull today.	
Tue	Nordic Hamstring Curl	Bodyweight	2	4	2 min	8	Control down and assist with the hands as needed to keep each rep clean.	
Tue	Pallof Press	Band tension that reaches target effort	2	10 each side	60s	7	Anti-rotation trunk work; crisp pause at full reach.	
Wed	[WARMUP] Band Pull-Apart Warm-up	Bodyweight	2	15	30-45s	N/A	Then do 2 easy transition drills on low rings and 1 easy dip ramp set.; Squat-and-reach x 6; Bodyweight squat x 8; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Scapular push-up x 8	
Wed	Strict Ring Muscle-up	Bodyweight	1	2	4 min	8.5	Top set of the ladder. Only take the double if both reps stay clean; if rep 2 is doubtful, make this 1 rep and keep the singles.	
Wed	Strict Ring Muscle-up	Bodyweight	4	1	3 min	7.5	Back-off singles. Treat every single as identical skill practice; a miss or ugly turnover ends the row.	
Wed	Weighted Dip	+30 kg	3	6	2.5 min	7.5	Foundation push for muscle-up support; stay one rep shy of slowdown.	
Wed	Australian Pull-up	Bodyweight	2	8	90s	6.5	Horizontal pull support; keep the chest touch standard honest.	
Wed	Advanced Tuck Front Lever	Bodyweight	2	10s	2 min	7	Maintenance dose held on purpose; stop before elbow bend or hip drop.	
Wed	Plank	Bodyweight	3	35s	60s	7	Brace hard; no sag.	
Fri	[WARMUP] Band Pull-Apart Warm-up	Bodyweight	2	15	30-45s	N/A	Then do 2 easy freestanding kick-ups and 1 easy Wall Handstand Push-up ramp set.; Squat-and-reach x 6; Bodyweight squat x 8; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Scapular push-up x 8	
Fri	Freestanding Handstand Push-up Negative	Bodyweight	3	1	2.5 min	8	Lower under control from a stable freestanding start if possible; if balance is lost early, use the cleanest partial range you can own.	
Fri	Back-to-Wall Handstand Push-Up	Bodyweight	3	3	2.5 min	7	Secondary press exposure; keep these cleaner and easier than Tuesday. Prescribed attempts are a ceiling, not a quota: stop the set early if quality, symmetry or balance breaks down.	
Fri	Australian Pull-up	Bodyweight	2	10	90s	6.5	Horizontal pull for balance and shoulder health.	
Fri	Pallof Press	Band tension that reaches target effort	2	12 each side	60s	7	Low-cost trunk; first thing to remove if the session runs long.	
