Here’s your corrected five-day flow: Mon squat + weighted pull-up + easy run, Wed 3K intervals, Thu deadlift + OHP + strict pull-ups, Sat 20 kg ruck, Sun low-cost unilateral/row support + easy run. Squat and deadlift stay on maintenance so the Wednesday quality run keeps the best freshness.

Weeks 2-4 progress one main lever at a time: longer reps in Week 2, more total quality in Week 3, then a faster reduced-volume expression in Week 4. Pull-up work builds gradually, while the ruck stays at 20 kg and only the pace band moves when the prior week was symptom-free.

If shin irritation shows up during or within 24 hours of the Wednesday run, repeat the last clean interval week or cut 1-2 reps there before changing the easy runs. If it shows up during or after the ruck, slow the ruck pace first and keep load/time fixed. If Dip bothers the shoulders, use Overhead Press in that slot; if pronated Pull-up irritates the elbows, first reduce load or reps before temporarily using Chin-up.

Weekly running volume anchor: your established, tolerated baseline is about 18-20 km per week across 3 running exposures, and this block keeps 3 running exposures while quality becomes more 3K-specific. Counting easy runs, warm-up, repetitions and cooldown, Week 1 projects roughly 14.1 km, which is deliberately below that baseline while the new interval specificity is the only impact variable stepping up. While shins and next-day soreness stay normal, rebuild toward the top of your 18-20 km range by adding a few minutes to the easy runs first, never by adding a fourth running day or by making the easy runs faster. If shin symptoms return, reduce the stressor that provoked them or the one most recently increased, the interval session if symptoms follow that session, the ruck if they follow loaded carrying, and easy-run volume only for diffuse accumulated soreness, then repeat the last symptom-free week before progressing again.

START_WEEK1_TSV
Day	Exercise	Weight	Sets	Reps	Rest	Target RPE	Notes	Results
Mon	[WARMUP]	N/A	1	8 min	N/A	3	Squat-and-reach x 6; Bodyweight squat x 8; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Scapular push-up x 8; Ramp Back Squat: 47.5 kg x 5, 72.5 kg x 3, 92.5 kg x 1-2 before 120 kg work sets.; Keep the warm-up specific and non-fatiguing.	
Mon	Back Squat	120 kg	2	3	3:00	7	Maintenance dose all block; if >7.5 RPE or bar speed/position slips, do 1 work set and keep Wednesday run priority.	
Mon	Weighted Pull-up	+22.5 kg	3	4	2:30	7-8	Submaximal weighted support anchored below the demonstrated +30 kg x 5 benchmark; full hang, strict reps, no grind.	
Mon	Dip	RPE-selected load	2	6	2:00	7	Low-cost horizontal press; use bodyweight or added load that leaves 2-3 RIR. If shoulders pinch, stay bodyweight and keep the reps crisp.	
Mon	Calf Raise	RPE-selected load	2	12	1:00	7	Tissue capacity for run/ruck tolerance; 1 s pause high and slow lower.	
Mon	Run	Easy conversational, ~5:20-5:50/km	1	25 min	N/A	4	Keep it truly easy and springy; if legs are flat from squat, cut to 20 min before touching Wednesday quality.	
Wed	[WARMUP] Run	Easy jog + drills + 4 x 20 s strides	1	12 min	N/A	3	Do not start work reps until calves and shins feel springy.; Easy jog 6-8 min; dynamic running drills; 3 relaxed strides before the hard running work; Keep the warm-up specific and non-fatiguing.	
Wed	Run	1:42-1:45 / 400 m	6	400 m	2:00 walk/jog	7.5-8	Current-capacity anchor; even splits, not a flyer first rep. If pace drifts >3 s/400 or shin pain appears, stop at the last clean rep and repeat this week.	
Wed	Run	Easy jog	1	8 min	N/A	2-3	Cool down easy; walk 2-3 extra min if calves still feel loaded.	
Thu	[WARMUP]	N/A	1	8 min	N/A	3	Hip-hinge drill x 8; Glute bridge x 10; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Wall slide x 8; Ramp Deadlift: 62.5 kg x 5, 92.5 kg x 3, 120 kg x 1-2 before 155 kg work sets.; Ramp Overhead Press: 20 kg x 5, 30 kg x 3, 40 kg x 1-2 before 50 kg work sets.; Keep the warm-up specific and non-fatiguing.	
