This is your last 4-week runway into Hyrox: Weeks 1-2 are realization with specific transitions and one real rehearsal, Week 3 cuts volume while keeping race feel, and Week 4 is pure freshness for Day 0. Squat and pulling stay on minimum reliable maintenance; the half-marathon is only protected here, then the 2 weeks after Hyrox need one longer easy run plus one steady run to reopen half-marathon tolerance.

Week 2 flips one transition direction and carries the only real race rehearsal. Week 3 keeps the pace and station feel but trims the total work hard. Week 4 descends into short touches and an optional Day -2 primer so you arrive sharp, not tired.

If the left Achilles grumbles, change the run most likely to have caused it: replace the next fast transition run with the same structure on the rower, keep the easy run only if symptoms stay quiet during and the next morning, and do not add a second back-to-back running day.

START_WEEK1_TSV
Day	Exercise	Weight	Sets	Reps	Rest	Target RPE	Notes	Results
Mon	[WARMUP]	N/A	1	8 min	N/A	3	Squat-and-reach x 6; Bodyweight squat x 8; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Ramp Back Squat: 45 kg x 5, 70 kg x 3, 90 kg x 1-2 before 115 kg work sets.	
Mon	Back Squat	115 kg	2	2	3:00	7	About 77% of your 150 kg max; squat maintenance. If this reaches over RPE 8, hold 112.5-115 kg and keep it at 2 sets.	
Mon	Chest-Supported Row	RPE-selected load	3	8	1:30	7	Pulling maintenance; keep the last rep clean, and hold the load if the chest comes off the pad.	
Mon	Barbell Hip Thrust	RPE-selected load	3	6	2:00	7.5	Posterior-chain support with low soreness; if lockout slows or hamstrings cramp, hold the load and finish the sets crisp.	
Mon	Pallof Press	RPE-selected load	2	10/side	0:45	6	Trunk brace only; first thing to remove if the session is running long.	
Tue	[WARMUP]	N/A	1	10 min	N/A	3	Easy jog 6-8 min; dynamic running drills; 3 relaxed strides before the hard running work; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12	
Tue	Rower	1:49-1:51/500 m	3	500 m	0:00	7.5	Station-to-run pair. Use the ski erg for this slot if it is open; otherwise row at the same effort cap.	
Tue	Run	4:12-4:16/km	3	800 m	3:00	7.5	Leave the machine and settle straight into race rhythm; stop at 2 clean rounds if Achilles talks or pace drifts.	
Tue	Prowler Push	90-95% competition load	4	25 m	1:30	7	25 m push out; if you normally set the rope, drag it back as the return. Crisp steps, no grind.	
Wed	Explosive Push-up	Bodyweight	3	3	1:00	6	Fast hands and fast floor contact; low-cost burpee pop touch only, stop if speed drops.	
Wed	Chin-up	RPE-selected load	3	5	2:00	7	Pulling maintenance; if elbows feel sticky, keep it bodyweight and stay crisp.	
Wed	Machine Hamstring Curl	RPE-selected load	3	8	1:30	7	Posterior-chain support without axial fatigue; if hamstrings threaten to cramp, hold the load and finish smooth.	
