Monday and Thursday drive the two main pulling goals: heavy Weighted Pull-up plus clean Ring Muscle-up work. Tuesday and Friday keep the inversion and straight-arm skill work in, and Wednesday stays deliberately low-cost so the primary pulling can keep moving.

Weeks 2-3 nudge the main qualities without bloating fatigue: Monday pull-up load climbs, Thursday’s Ring Muscle-up ladder grows from a clean double plus singles to a triple top set, Tuesday Back-to-Wall Handstand Push-Up moves from triples to fours, and Wednesday’s Freestanding Handstand Push-up Negative gets longer from 3 to 5 seconds. Week 4 is consolidation: fewer total sets, similar moderate loads, cleaner reps, fresher elbows.

If the left medial elbow rises above its usual short-lived baseline, remove straight-arm stress in this order: Band-Assisted Straddle Planche, then Advanced Tuck Planche, then Advanced Tuck Front Lever. Keep Ring Muscle-up and Weighted Pull-up unless pain also appears during bent-arm pulling; if it does, stop that row, cut the next pull session by 2.5-5 kg or one set, and repeat the last clean week.

START_WEEK1_TSV
Day	Exercise	Weight	Sets	Reps	Rest	Target RPE	Notes	Results
Mon	[WARMUP] Band Pull-Apart Warm-up	Light band	2	15	30s	4	Easy scap and shoulder prep; then 2 easy ramp sets on the first pull and first press.; Squat-and-reach x 6; Bodyweight squat x 8; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Scapular push-up x 8; Ramp Weighted Pull-up: bodyweight x 5, +10 kg x 3, +20 kg x 2 before +30 kg work sets.	
Mon	Weighted Pull-up	+30 kg	4	3	4 min	8	Added load only. Start around 94% of your +32 kg x3 benchmark; if set 1 is over RPE 8 or chest no longer reaches bar, drop to +27.5 kg and keep clean triples.	
Mon	Ring Muscle-up	BW	5	1	2-3 min	7.5	Quality singles only. Strict rings, no kip; false grip if it gives the cleanest turnover. Stop the session at the first miss or soft lockout.	
Mon	Dip	RPE-selected load	3	5	3 min	7.5	Added load only. Support strength for muscle-up; leave 1-2 reps in reserve and keep the turnover crisp.	
Mon	Pistol Squat	Belt load to RPE 8	3	8 each leg	2 min	8	Use added belt load if bodyweight is too easy; controlled 2-3s down.	
Mon	Band Pallof Press	Light band	2	12 each side	60s	6	Trunk anti-rotation; first accessory to remove if time runs tight.	
Tue	[WARMUP] Band Pull-Apart Warm-up	Light band	2	15	30s	4	Easy scap, wrists and shoulder elevation prep before handstand work.; Squat-and-reach x 6; Bodyweight squat x 8; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Scapular push-up x 8	
Tue	Controlled Handstand Kick-up	BW	5	2-3 attempts	60s	6	Fresh balance practice. Max 15 total attempts; stop a set early if entries get wild.	
Tue	Freestanding Handstand Hold	BW	5	6-10s	60-90s	6	Own the line, ribs down, toes stacked. End the set when balance drifts or shoulders shrug unevenly.	
Tue	Back-to-Wall Handstand Push-Up	BW	4	3	3 min	7.5	Use the same folded-towel depth each set. If rep speed collapses or head tracks forward, hold the reps here and do not force more.	
