Mon and Fri stay your direct bent-arm primary days for strict ring muscle-up plus Weighted Pull-up strength. Wed keeps a light foundational Pull-up after the handstand work so that skill session still sits on real pulling strength without stealing freshness from the main pull days.

W2 nudges the Weighted Pull-up added load or the best clean skill standard, W3 is the hardest week, and W4 is a true consolidation week: less non-essential volume, same movement standards, and enough intensity to keep momentum while you finish fresher.

If the left medial elbow ache rises above 2/10 or lasts beyond 48 hours, first remove Saturday Band-Assisted Straddle Planche, then cut Tuesday Advanced Tuck Planche to 3 sets before touching the weighted bent-arm work. If a handstand rep or negative loses stacked line or shoulder elevation, end that set there and repeat the last clean standard next week.

START_WEEK1_TSV
Day	Exercise	Weight	Sets	Reps	Rest	Target RPE	Notes	Results
Mon	[WARMUP] Band Pull-Apart Warm-up	Light band	1	20	45s	N/A	Quick shoulder and scap prep before rings and pulling.; Squat-and-reach x 6; Bodyweight squat x 8; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Scapular push-up x 8; Ramp Weighted Pull-up: 12.5 kg x 5, 17.5 kg x 3, 22.5 kg x 1-2 before 29 kg work sets.	
Mon	Weighted Pull-up	29 kg	3	3	4 min	8	Added load via belt; bodyweight is part of the total.	
Mon	Muscle-up	Bodyweight	1	2	3 min	7	Top set: the longest clean set of the week, and the one that moves the 5-rep goal. Stop the set the moment a rep turns soft -- a short clean set counts and a forced one does not.	
Mon	Muscle-up	Bodyweight	3	1	3 min	7	Back-off singles at the same standard. Quality volume behind the top set; stop if turnover slows.	
Mon	Dip	RPE-selected load	2	4	3 min	8	Added load via belt. Use rings if shoulder position stays stable. If lockout or depth changes, hold the load and stop at 1 set.	
Mon	Pistol Squat	RPE-selected belt load	3	5/leg	2 min	7.5	Use belt load only if depth and balance stay clean; otherwise bodyweight is fine this week.	
Mon	Pallof Press	Light band	2	10/side	60s	7	Trunk anti-rotation support; smooth reps, no torso twist.	
Tue	[WARMUP] Band Pull-Apart Warm-up	Light band	1	20	45s	N/A	Low-cost recovery-contingent day; if whole-body fatigue is high, cut the final row first.; Squat-and-reach x 6; Bodyweight squat x 8; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Scapular push-up x 8	
Tue	Advanced Tuck Planche	Bodyweight	4	6-8s	2 min	7	Locked elbows and protraction. Stop before elbow awareness rises or pelvis drops.	
Tue	Ring Push-up	Bodyweight	2	10	90s	8	Keep the rings stable, body rigid, and stop 1-2 reps before form breaks.	
Tue	Inverted Row	Bodyweight	2	10	90s	7	Horizontal pull balance; keep scap movement smooth and avoid jerking.	
Tue	Cossack Squat	Bodyweight	2	6/side	60s	6	Easy lower-body mobility-strength support; stay relaxed and controlled.	
Tue	Pallof Press	Light band	2	12/side	60s	7	Trunk work; first accessory to remove if recovery dips.	
Wed	[WARMUP] Band Pull-Apart Warm-up	Light band	1	20	45s	N/A	Quick upper-back and shoulder prep before inversion work.; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Scapular push-up x 8	
Wed	Freestanding Handstand Hold	Bodyweight	5	10-15s	75s	N/A	Balance skill first. Stop each attempt at loss of stacked line or more than 2 balance saves.	
Wed	Freestanding Handstand Push-up Negative	Bodyweight	4	1	2 min	7	Control a 3s descent to a light head touch. Stop the set if line, tempo, or shoulder elevation breaks.	
Wed	Back-to-Wall Handstand Push-Up	Bodyweight	3	4	3 min	7.5	Same folded-towel depth as your current benchmark. End the set early if you have to kip or lose head-hand position.	
Wed	Pull-up	Bodyweight	2	5	2 min	6.5	Light foundational vertical pull to keep the session honest without stealing Friday readiness. Stop well short of any grind; if Monday still lingers, keep both sets at 4 clean reps.	
Wed	Nordic Hamstring Curl	Bodyweight	3	4	2 min	8	Control the lowering; use as much hand help on the way up as needed to keep hamstrings working cleanly.	
Wed	Plank	Bodyweight	2	40-50s	60s	7	Ribs down and glutes on; stop before low-back extension shows up.	
Fri	[WARMUP] Band Pull-Apart Warm-up	Light band	1	20	45s	N/A	Quick shoulder prep before second primary pull session.; Squat-and-reach x 6; Bodyweight squat x 8; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Scapular push-up x 8; Ramp Weighted Pull-up: 10 kg x 5, 15 kg x 3, 20 kg x 1-2 before 25 kg work sets.	
Fri	Muscle-up	Bodyweight	4	1	3 min	7	Strict ring singles again. Stop at any soft catch or turnover slowdown; if Monday still lingers, keep all reps farther from failure rather than adding attempts.	
Fri	Dip	RPE-selected load	2	5	3 min	7.5	Added load via belt. Volume support for the ring muscle-up top end. If depth or ring stability worsens, hold the load and stop at 1 set.	
Fri	Weighted Pull-up	25 kg	4	4	4 min	8	Added load via belt; bodyweight is part of the total.	
Fri	Pistol Squat	RPE-selected belt load	3	6/leg	2 min	8	Smooth depth and balance first; add belt load only if the target RPE is still there with clean control.	
Fri	Plank	Bodyweight	2	45-60s	60s	7	Keep the brace even; no hip sag.	
Sat	[WARMUP] Band Pull-Apart Warm-up	Light band	1	20	45s	N/A	Prep shoulders and wrists, then keep this day smooth and low-cost.; Squat-and-reach x 6; Bodyweight squat x 8; Band shoulder pass-through x 10; Scapular push-up x 8	
Sat	Freestanding Handstand Hold	Bodyweight	4	8-12s	75s	N/A	Fresh balance exposure. Stop each attempt as soon as the line opens or you need repeated saves.	
Sat	Band-Assisted Straddle Planche	Band assistance that leaves 1-2s in reserve	3	4-5s	2-3 min	8	Small bridge exposure toward straddle. Use the lightest band that keeps locked elbows and clean shape.	
Sat	Advanced Tuck Front Lever	Bodyweight	2	10-12s	2 min	7	Maintenance dose held on purpose; same clean scapular position every week unless symptoms say otherwise.	
Sat	Back-to-Wall Handstand Push-Up	Bodyweight	2	4	3 min	7	Maintenance exposure at your benchmark depth; stop if you kick off or lose shoulder line.	
Sat	Ring Push-up	Bodyweight	3	8-10	90s	8	Keep the rings stable, body rigid, and stop 1-2 reps before form breaks.	
Sat	Cossack Squat	Bodyweight	2	6/side	60s	6	Low-cost lower-body work to keep the day recovery-friendly.	
Sat	Plank	Bodyweight	2	45s	60s	7	Short trunk finish; stop before any lumbar extension.	
END_WEEK1_TSV
START_WEEK2_TSV
Day	Exercise	Weight	Sets	Reps	Rest	Target RPE	Notes	Results
Mon	[WARMUP] Band Pull-Apart Warm-up	Light band	1	20	45s	N/A	Quick shoulder and scap prep before rings and pulling.; Squat-and-reach x 6; Bodyweight squat x 8; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Scapular push-up x 8; Ramp Weighted Pull-up: 12.5 kg x 5, 17.5 kg x 3, 22.5 kg x 1-2 before 30 kg work sets.	
Mon	Weighted Pull-up	30 kg	3	3	4 min	8	Added load via belt; bodyweight is part of the total.	
Mon	Muscle-up	Bodyweight	2	2	3 min	7	Top set: the longest clean set of the week, and the one that moves the 5-rep goal. Stop the set the moment a rep turns soft -- a short clean set counts and a forced one does not.	
Mon	Muscle-up	Bodyweight	2	1	3 min	7	Back-off singles at the same standard. Quality volume behind the top set; stop if turnover slows.	
Mon	Dip	RPE-selected load	2	4	3 min	8	Added load via belt. Use rings if shoulder position stays stable. If lockout or depth changes, hold the load and stop at 1 set.	
Mon	Pistol Squat	RPE-selected belt load	3	5/leg	2 min	7.5	Same lower-body support dose; only add belt load if balance and depth remain identical.	
Mon	Pallof Press	Light band	2	10/side	60s	7	Trunk anti-rotation support; smooth reps, no torso twist.	
Tue	[WARMUP] Band Pull-Apart Warm-up	Light band	1	20	45s	N/A	Low-cost recovery-contingent day; if whole-body fatigue is high, cut the final row first.; Squat-and-reach x 6; Bodyweight squat x 8; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Scapular push-up x 8	
Tue	Advanced Tuck Planche	Bodyweight	4	8s	2 min	7	Locked elbows and protraction. Stop before elbow awareness rises or pelvis drops.	
Tue	Ring Push-up	Bodyweight	2	10	90s	8	Keep the rings stable, body rigid, and stop 1-2 reps before form breaks.	
Tue	Inverted Row	Bodyweight	2	10	90s	7	Horizontal pull balance; keep scap movement smooth and avoid jerking.	
Tue	Cossack Squat	Bodyweight	2	6/side	60s	6	Easy lower-body mobility-strength support; stay relaxed and controlled.	
Tue	Pallof Press	Light band	2	12/side	60s	7	Trunk work; first accessory to remove if recovery dips.	
Wed	[WARMUP] Band Pull-Apart Warm-up	Light band	1	20	45s	N/A	Quick upper-back and shoulder prep before inversion work.; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Scapular push-up x 8	
Wed	Freestanding Handstand Hold	Bodyweight	5	12-18s	75s	N/A	Balance skill first. Stop each attempt at loss of stacked line or more than 2 balance saves.	
Wed	Freestanding Handstand Push-up Negative	Bodyweight	4	1	2 min	7	Control a 4s descent to a light head touch. Stop the set if line, tempo, or shoulder elevation breaks.	
Wed	Back-to-Wall Handstand Push-Up	Bodyweight	3	5	3 min	8	Same folded-towel depth as your current benchmark. End the set early if you have to kip or lose head-hand position.	
Wed	Pull-up	Bodyweight	2	5	2 min	6.5	Light foundational vertical pull to keep the session honest without stealing Friday readiness. Stop well short of any grind; if Monday still lingers, keep both sets at 4 clean reps.	
Wed	Nordic Hamstring Curl	Bodyweight	3	4	2 min	8	Control the lowering; use as much hand help on the way up as needed to keep hamstrings working cleanly.	
Wed	Plank	Bodyweight	2	40-50s	60s	7	Ribs down and glutes on; stop before low-back extension shows up.	
Fri	[WARMUP] Band Pull-Apart Warm-up	Light band	1	20	45s	N/A	Quick shoulder prep before second primary pull session.; Squat-and-reach x 6; Bodyweight squat x 8; Scapular pull-up 2 x 5-6; Band pull-apart x 10-12; Band shoulder pass-through x 10; Scapular push-up x 8; Ramp Weighted Pull-up: 10 kg x 5, 15 kg x 3, 20 kg x 1-2 before 26 kg work sets.	
Fri	Muscle-up	Bodyweight	5	1	3 min	7	Strict ring singles again. Stop at any soft catch or turnover slowdown; do not chase extra reps if the turnover is slower than Monday.	
Fri	Dip	RPE-selected load	2	5	3 min	8	Added load via belt. Volume support for the ring muscle-up top end. If depth or ring stability worsens, hold the load and stop at 1 set.	
Fri	Weighted Pull-up	26 kg	4	4	4 min	8	Added load via belt; bodyweight is part of the total.	
Fri	Pistol Squat	RPE-selected belt load	3	6/leg	2 min	8	Smooth depth and balance first; add belt load only if the target RPE is still there with clean control.	
Fri	Plank	Bodyweight	2	45-60s	60s	7	Keep the brace even; no hip sag.	
Sat	[WARMUP] Band Pull-Apart Warm-up	Light band	1	20	45s	N/A	Prep shoulders and wrists, then keep this day smooth and low-cost.; Squat-and-reach x 6; Bodyweight squat x 8; Band shoulder pass-through x 10; Scapular push-up x 8	
Sat	Freestanding Handstand Hold	Bodyweight	4	10-15s	75s	N/A	Fresh balance exposure. Stop each attempt as soon as the line opens or you need repeated saves.	
